Name,Type,Lucee,BoxLang,RustCFML Impl,RustCFML Test,Example Code,Expected Output
cfadmin,tag,Yes,?,❌,❌,"<cfadmin
 action=""collection""
 type=""web|server""
 password=""password""
 collectionAction=""create""
 collection=""#form.collName#""
 path=""#form.collPath#""",
cfajaximport,tag,Yes,?,❌,❌,N/A,N/A
cfajaxproxy,tag,Yes,?,❌,❌,N/A,N/A
cfapplet,tag,Yes,?,❌,❌,N/A,N/A
cfapplication,tag,Yes,?,❌,❌,N/A,N/A
cfargument,tag,Yes,?,✅,✅,"public boolean function myFunction(required any myArgument) {
    // Some function bits
    return true;
}",
cfassociate,tag,Yes,?,❌,❌,N/A,N/A
cfbreak,tag,Yes,?,✅,✅,"for (i=1; i <= 10; i++){
    writeOutput(""#i#<br>"");
    if (i >= 5){
        break;
    }
}",1 2 3 4 5
cfcache,tag,Yes,?,✅,✅,"<cfcache action='optimal' directory='/path/to/directory' timespan='#createTimeSpan( 1, 0, 0, 0 )#' idletime='#createTimeSpan( 0, 12, 0, 0 )#'>
	<div i","<div id=""some-id"">Hello World!</div>"
cfcase,tag,Yes,?,✅,✅,"fruit = """";
switch(fruit) {
    case ""Apple"":
        writeOutput(""I like apples!"");
        break; 
    case ""Orange"": case ""Citrus"":
        w","Fruit, what fruit?"
cfcatch,tag,Yes,?,✅,✅,"try {
    x = 5/0;
}
catch (any e) {
    writeOutput(""Error: "" & e.message);
}",Error: Division by zero.
cfchart,tag,Yes,?,❌,❌,"<cfchart format=""html"" title=""Sales Report"">
	<cfchartseries type=""pie"">
		<cfchartdata item=""2012"" value=""#RandRange(300000,900000)#"">
		<cfchartd",
cfchartdata,tag,Yes,?,❌,❌,"<cfchart xAxisTitle=""Department"" yAxisTitle=""Salary Average"">
	<cfchartseries type=""bar"">
		<cfchartdata item=""Finance"" value=""75000"">
		<cfchartda",
cfchartseries,tag,Yes,?,❌,❌,"<cfchart xAxisTitle=""Subject"" yAxisTitle=""Marks"">
	<cfchartseries type=""area"" seriescolor =""##ccc"">
		<cfchartdata item=""Tamil"" value=""80"">
		<cfch",
cfcol,tag,Yes,?,❌,❌,N/A,N/A
cfcollection,tag,Yes,?,❌,❌,"public boolean function createCollection( required string collectionName ) {
	// var scope a variable to check if the collection already exists
	var","True, if the collection was created; False, if the collection already exists"
cfcomponent,tag,Yes,?,❌,❌,"component displayname=""Script Widget"" output=""false"" { 
 // functions and properties here 
}",
cfcontent,tag,Yes,?,✅,✅,"<cfcontent type=""application/vnd.ms-excel"" file=""c:/temp/acmesales03.xls""> ",
cfcontinue,tag,Yes,?,✅,✅,"qry = queryNew('ID,Name','integer,varchar',[{
	id: 0,
	name: 'hello'
},{},{
	id: 1,
	name: 'world'
}]);
for(row in qry) {
	if(row.ID is '') {
		contin","0.: hello, 1.: world,"
cfcookie,tag,Yes,?,❌,❌,"cfcookie(name=""TimeVisited"", value=Now(), domain="".local.com"", path=""/coldfusion"" expires=30, httponly=""yes"", encodevalue=""yes"" )
",
cfdbinfo,tag,Yes,?,✅,✅,"<cfdbinfo type=""columns"" name=""cols"" table=""tester"">
<cfoutput query=""cols"">
        #cols.column_name# #cols.type_name#(#cols.column_size#)<br>
</cfo",
cfdefaultcase,tag,Yes,?,✅,✅,"vegetable = """";
switch(vegetable) {
    case ""carrot"":
        writeOutput(""Carrots are orange."");
        break;
    default:
        writeOutp",You don't have any vegetables!
cfdirectory,tag,Yes,?,✅,✅,"myList = directoryList(expandPath(""./""), false, ""query"");",
cfdiv,tag,Yes,?,❌,❌,N/A,N/A
cfdocument,tag,Yes,?,❌,❌,"<cfdocument format=""pdf"" filename=""#getTempDirectory()#mydoc.pdf"">
    <h1>Hello ColdFusion</h1>
    <p>This is <strong>PDF</strong> example document.",A saved Hello ColdFusion PDF to a temporary directory
cfdocumentitem,tag,Yes,?,❌,❌,"cfdocumentitem( type=""pagebreak"" );",
cfdocumentsection,tag,Yes,?,❌,❌,"<cfdocument format=""pdf"" bookmark=""yes"">
<cfdocumentsection mimetype=""text/html"">
<table>
<tr>
<td>Coldfusuion</td>
<td>java</td>
</tr>
</table",
cfdump,tag,Yes,?,❌,❌,"<cfdump var=""#server#"" label=""Server Scope"">",
cfelse,tag,Yes,?,✅,✅,"count = 10; 
 if (count > 20) { 
 writeOutput(count); 
 } else if (count == 8) { 
 writeOutput(count); 
 } else { 
 writeOutput(count); 
 }",
cfelseif,tag,Yes,?,✅,✅,"count = 10; 
 if (count > 20) { 
 writeOutput(count); 
 } else if (count == 8) { 
 writeOutput(count); 
 } else { 
 writeOutput(count); 
 }",
cferror,tag,Yes,?,❌,❌,N/A,N/A
cfexecute,tag,Yes,?,✅,✅,"cfexecute( name=""bash"", arguments=""/opt/jq.sh #cmdArgs#"", variable=""standardOut"" , errorVariable=""errorOut"" , timeout=""10"");",
cfexit,tag,Yes,?,❌,❌,"<cfoutput>
<cfloop from=""1"" to=""5"" index = ""i"">
<cfif i EQ 3>
	<cfexit>
<cfelse>
	#i#
</cfif>
</cfloop>
</cfoutput>",1 2
cffeed,tag,Yes,?,❌,❌,N/A,N/A
cffile,tag,Yes,?,✅,✅,"fileWrite(expandPath(""./myFile.txt""), ""Here's some content for my file."");",
cffinally,tag,Yes,?,✅,✅,"try {
	writeOutput('hello world<br/>');
	throw(message='threw on purpose!');
}catch(any e){
	writeOutput('Caught an exception<br/>');
}finally{
","hello world
Caught an exception
Ran clean-up code regardless of error"
cfflush,tag,Yes,?,❌,❌,"writeOutput( ""<div>foo</div>"" ); 
 cfflush(); 
 sleep( 1000 ); 
 writeOutput( ""<div>bar</div>"" );",
cfform,tag,Yes,?,❌,❌,N/A,N/A
cfforward,tag,Yes,?,❌,❌,"
cfforward( ""mypage.cfm"" );",
cfftp,tag,Yes,?,❌,❌,"// Create FTP service and set attributes for connection 
 ftpService = new ftp(); 
 ftpService.setConnection(""myConn""); 
 ftpService.setUsername(""m",
cffunction,tag,Yes,?,✅,✅,"public boolean function myFunction(required any myArgument) { 
  // Some function bits 
 return true; 
 }",
cfheader,tag,Yes,?,❌,❌,"<cfheader name=""Content-Security-Policy"" value=""default-src 'self'"">",
cfhtmlbody,tag,Yes,?,❌,❌,<cfhtmlbody><h1>Hello World</h1></cfhtmlbody>,
cfhtmlhead,tag,Yes,?,❌,❌,"<cfhtmlhead text='<link href=""/news.xml"" rel=""alternate"" type=""application/rss+xml"" title=""Latest News"" />'>",
cfhttp,tag,Yes,?,✅,✅,"cfhttp(method=""GET"", charset=""utf-8"", url=""https://www.google.com/"", result=""result"") {
    cfhttpparam(name=""q"", type=""url"", value=""cfml"");
}
writ",
cfhttpparam,tag,Yes,?,✅,✅,"cfhttp(method=""POST"", charset=""utf-8"", url=""https://www.google.com/"", result=""result"") {
    cfhttpparam(name=""q"", type=""formfield"", value=""cfml"");
",
cfif,tag,Yes,?,✅,✅,"count = 10; 
 if (count > 20) { 
 writeOutput(count); 
 } else if (count == 8) { 
 writeOutput(count); 
 } else { 
 writeOutput(count); 
 }",
cfimage,tag,Yes,?,❌,❌,"<cfimage action=""border"" source=""#sourceImage#"" size=5 color=""red"" name=""withborder"">",
cfimap,tag,Yes,?,❌,❌,N/A,N/A
cfimport,tag,Yes,?,✅,✅,"<cfimport taglib=""/relative/path/customTags"" prefix=""tags""/>
<tags:myCustomTag></tags:myCustomTag>",
cfinclude,tag,Yes,?,✅,✅,"include ""mypage.cfm"";",
cfindex,tag,Yes,?,❌,❌,N/A,N/A
cfinput,tag,Yes,?,❌,❌,N/A,N/A
cfinsert,tag,Yes,?,❌,❌,"cfinsert( datasource=""myDsn"", tablename=""users"", formFields=""firstName,lastName,emailAddress"" );",
cfinterface,tag,Yes,?,❌,❌,"interface displayname=""My Interface"" { 
 numeric function myFunction(required string myArgument); 
 }",
cfinvoke,tag,Yes,?,✅,✅,"<cfinvoke webservice=""http://soaptest.parasoft.com/calculator.wsdl"" method=""add"" returnvariable=""answer"">
    <cfinvokeargument name=""x"" value=""2"">
",5.0
cfinvokeargument,tag,Yes,?,❌,❌,"<cfinvoke webservice=""http://soaptest.parasoft.com/calculator.wsdl"" method=""add"" returnvariable=""answer"">
    <cfinvokeargument name=""x"" value=""2"">
",5.0
cfldap,tag,Yes,?,❌,❌,"<cfldap server=""db.debian.org"" 
       action=""query""
       name=""results""
       start=""dc=debian,dc=org""
       filter=""sn=Smith""
       attri",
cflocation,tag,Yes,?,❌,❌,"location(""mypage.cfm"", ""false"", ""301"");",
cflock,tag,Yes,?,✅,✅,"
lock timeout=""60"" scope=""session"" type=""exclusive"" { 
 session.myVar = ""Hello""; 
 }
",
cflog,tag,Yes,?,✅,✅,"<cflog file=""myAppLog"" text=""Whatever you want to log."" type=""information"" >",
cflogin,tag,Yes,?,❌,❌,"cflogin(idletimeout=3600, applicationtoken='YOUR_APP_NAME', cookiedomain='YOUR_DOMAIN_NAME') {
 cfoauth(
 type=""Google"",
 clientid=""YOUR_CLIENT_ID"",
 ",
cfloginuser,tag,Yes,?,❌,❌,"cflogin(idletimeout=3600, applicationtoken='YOUR_APP_NAME', cookiedomain='YOUR_DOMAIN_NAME') {
 cfoauth(
 type=""Google"",
 clientid=""YOUR_CLIENT_ID"",
 ",
cflogout,tag,Yes,?,❌,❌,N/A,N/A
cfloop,tag,Yes,?,✅,✅,"for (i = 1; i <= 10; i++) {
    writeOutput(i); 
}",12345678910
cfmail,tag,Yes,?,✅,✅,"<cfmail to=""recipient@example.com"" from=""sender@example.com"" subject=""Example email"">
  Your Email Message!!
</cfmail>",
cfmailparam,tag,Yes,?,✅,✅,"<cfmail to=""recipient@example.com"" from=""sender@example.com"" subject=""Example email"">
  <cfmailparam file=""/#attachment#"">
  Your Email Message!!
</cf",
cfmailpart,tag,Yes,?,✅,✅,"cfmail( to = ""recipient@example.com"", from = ""sender@example.com"", subject = ""Example email"" ) {
cfmailpart(type=""text/plain"") {
	writeOutput(""If you ",
cfmodule,tag,Yes,?,✅,✅,"<cfmodule template=""\layout\default\mainheader.cfm"">",
cfobject,tag,Yes,?,❌,❌,"<cfcomponent>
<cffunction name=""multiply"" access=""public"" returnType=""numeric"">
<cfargument name=""FirstNum"" type=""numeric"">
<cfargument name=""Secon",
cfobjectcache,tag,Yes,?,❌,❌,N/A,N/A
cfoutput,tag,Yes,?,✅,✅,<cfoutput>Some text and a #encodeForHTML(variable)#</cfoutput>,
cfpageencoding,tag,Yes,?,❌,❌,"<cfpageencoding charset=""utf-8"">
Some UTF-8 content
</cfpageencoding>",Encoding the buffered content between the tags
cfparam,tag,Yes,?,✅,✅,"<cfparam name=""userID"" default=""0""/>",
cfpdf,tag,Yes,?,❌,❌,"cfpdf(
    action=""thumbnail"",
    source=expandPath( ""./myFile.pdf"" ),
    destination=expandPath( ""./thumbnails/""),
    resolution=""high"",
    ",Creates a file called myFile_page_1.jpg in the /thumbnails/ directory
cfpdfparam,tag,Yes,?,❌,❌,N/A,N/A
cfpop,tag,Yes,?,❌,❌,N/A,N/A
cfprocessingdirective,tag,Yes,?,✅,✅,N/A,N/A
cfprocparam,tag,Yes,?,✅,✅,"<cfstoredproc procedure = ""foo_proc"" dataSource = ""MY_SYBASE_TEST"" username = ""sa"" password = ""mygoodpw"" dbServer = ""scup"" dbName = ""pubs2"" returnCode",
cfprocresult,tag,Yes,?,✅,✅,N/A,N/A
cfproperty,tag,Yes,?,✅,✅,N/A,N/A
cfquery,tag,Yes,?,✅,✅,"<cfquery name=""news"">
    SELECT id,title,story
    FROM news
    WHERE id = <cfqueryparam value=""#url.id#"" cfsqltype=""cf_sql_integer"">
</cfquery>",
cfqueryparam,tag,Yes,?,✅,✅,"<cfquery name=""news"">
    SELECT id,title,story
    FROM news
    WHERE id = <cfqueryparam value=""#url.id#"" cfsqltype=""cf_sql_integer"">
</cfquery>",
cfregistry,tag,Yes,?,❌,❌,N/A,N/A
cfrethrow,tag,Yes,?,❌,❌,N/A,N/A
cfretry,tag,Yes,?,❌,❌,"<cfoutput>
<cfset iterations = 1/>
<cfset limit = 3/>

<cftry>
	<cfif iterations EQ limit>
		Done!
	<cfelse>
		<cfthrow type='Custom' message=",Too soon. Too soon. Done!
cfreturn,tag,Yes,?,✅,✅,"<cffunction name=""Department"" access=""public"" returnType=""Numeric"">
	<cfargument name=""a"" type=""numeric"" >
	<cfargument name=""b"" type=""numeric"">
	<",13
cfsavecontent,tag,Yes,?,✅,✅,"savecontent variable=""myContent"" {
 writeOutput(""Somecontent."");
}",
cfschedule,tag,Yes,?,❌,❌,"<cfschedule
 action=""update""
 task=""importMyCSVFileToDB""
 operation=""HTTPRequest""
 startDate=""5/12/2016""
 startTime=""7:00 AM""
 url=""http://www.m",
cfscript,tag,Yes,?,✅,✅,"<cfscript> 
 x = y = 1; 
 writeDump(x); 
 </cfscript>",
cfsearch,tag,Yes,?,❌,❌,N/A,N/A
cfselect,tag,Yes,?,❌,❌,N/A,N/A
cfset,tag,Yes,?,✅,✅,"x = y = 1; 
z = [ 
    !x, 
    x == 1 && y == 2, 
    x == 1 || y == 2 
]; 
writeDump(z);",
cfsetting,tag,Yes,?,✅,✅,setting enablecfoutputonly=true;,
cfsilent,tag,Yes,?,✅,✅," <cfset a = 10> 
 <cfset b = 5> 
 <cfsilent> 
    <cfoutput> This is from inside cfsilent #a+b# </cfoutput> 
 </cfsilent> 
 <cfoutput>This is from out",This is from outside cfsilent 5
cfsleep,tag,Yes,?,❌,❌,"<cfloop index='i' from='1' to='3'>
  <cfdump var='#timeFormat(now(), ""HH:mm:ss"")#'/>
  <cfsleep time='2000'/>
</cfloop>",
cfslider,tag,Yes,?,❌,❌,N/A,N/A
cfstopwatch,tag,Yes,?,❌,❌,"<cfstopwatch variable=""stopwatchVar"" label=""Nap time"">
Begin some long running process ...
<cfset sleep(2000)>
done.
</cfstopwatch><cfdump var=""stopwa",The time elapsed while executing the code inside the <cfstopwatch> block is returned as a variable t
cfstoredproc,tag,Yes,?,✅,✅,"<cfstoredproc procedure=""spu_my_storedproc"" datasource=""myDSN"">
	<cfprocparam cfsqltype=""cf_sql_integer"" value=""#myParameterValue#"">
	<cfprocresult ",
cfswitch,tag,Yes,?,✅,✅,"fruit = ""Orange"";
switch(fruit) {
    case ""Apple"":
        writeOutput(""I like apples!"");
        break; 
    case ""Orange"": case ""Citrus"":
   ",I like oranges!
cftable,tag,Yes,?,❌,❌,N/A,N/A
cftextinput,tag,Yes,?,❌,❌,N/A,N/A
cfthread,tag,Yes,?,✅,✅,"thread action=""run"" name=""myThread"" {
 // do single thread stuff 
} 
thread action=""join"" name=""myThread,myOtherThread"";",
cfthrow,tag,Yes,?,✅,✅,"try {
    throw(message=""Oops"", detail=""xyz""); //CF9+
} catch (any e) {
    writeOutput(""Error: "" & e.message);
} finally { //CF9+
    writeOutput(""I ",Error: OopsI run even if no error
